scrubbed_genus,scrubbed_species_binomial,latitude,longitude,extant_of_fossil,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world,on map coded,gbifID(OnlyRecordedForC.pechuelii)
Paullinia,Paullinia serjaniifolia,8.67,-83.69,extant,1/27/99,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia rugosa,9.1147,-83.6817,extant,8/25/08,GBIF,US,US,US,Botany,3271,1,NA,
Paullinia,Paullinia fimbriata,9.11472,-83.68167,extant,8/25/08,NY,NY,NY,NY,Herbarium,104,1,NA,
Paullinia,Paullinia fimbriata,9.11472,-83.68167,extant,8/25/08,NY,NY,NY,NY,Herbarium,104,1,NA,
Paullinia,Paullinia fimbriata,9.1147222,-83.6816667,extant,8/25/08,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia serjaniifolia,10.65,-83.67777,extant,9/15/86,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia serjaniifolia,10.65,-83.67,extant,9/15/86,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia pterocarpa,9.87,-83.67,extant,6/1/82,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia alata,9.333333,-83.666667,extant,6/7/39,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia alata,9.36055,-83.66361,extant,6/1/39,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia capreolata,10.047222,-83.65,extant,4/1/01,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia capreolata,10.047222,-83.65,extant,4/1/01,MO,NA,NA,NA,NA,280,1,NA,
Paullinia,Paullinia capreolata,10.047222,-83.65,extant,4/1/01,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia capreolata,10.047222,-83.65,extant,4/1/01,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia capreolata,10.047222,-83.65,extant,4/1/01,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia capreolata,10.047222,-83.65,extant,4/1/01,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pterocarpa,10.493611,-83.647778,extant,1/21/97,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
